date,lower interquartile,upper interquartile,10% of readings fall below this line,10% of readings fall above this line,1981-2010 median,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
May 7,625,11875,0,42250,1250.0,NA,0,0,NA,0,NA,NA,9000,NA,NA,0,66000,2000,0,0,1000,1000,4000,1000,1000,18000,3000,16000,1000,1000,36000,1000,154000,1000,12000,0,112000,5000,91000,0,5000,4000,15000,47000,0,81000
May 8,625,8125,500,34000,1875.0,8000,NA,NA,2000,NA,8000,1000,NA,28000,NA,10000,55000,2000,0,1000,1000,1000,2000,1000,14000,29000,0,8000,2000,1000,7000,6000,146000,4000,2000,0,163000,5000,67000,1000,14000,5000,14000,54000,0,26000
May 9,937.5,6250,0,32937.5,2500.0,NA,0,2000,NA,2000,NA,NA,6000,NA,NA,0,NA,2000,0,0,NA,8000,3000,7000,4000,61000,2000,1000,6000,1000,3000,0,133000,2000,2000,1000,214000,18000,27000,0,11000,7000,23000,149000,0,11000
May 10,1250,18593.75,781.25,82187.5,3750.0,6000,NA,NA,4000,NA,12000,1000,NA,0,NA,24000,NA,NA,1000,1000,NA,12000,9000,31000,1000,134000,4000,28000,6000,1000,21000,3000,142000,9000,3000,3000,178000,48000,8000,0,6000,0,108000,16000,0,6000
May 11,78.125,18437.5,0,46000,3437.5,NA,0,0,NA,0,NA,NA,0,NA,0,0,9000,1000,0,41000,1000,34000,6000,14000,6000,230000,4000,24000,20000,1000,14000,4000,89000,3000,0,1000,132000,14000,3000,1000,0,0,216000,2000,0,8000
May 12,625,28125,0,47625,5625.0,1000,NA,NA,1000,NA,34000,0,NA,0,16000,0,2000,1000,1000,61000,4000,44000,NA,8000,7000,73000,29000,19000,42000,3000,15000,93000,28000,6000,2000,0,23000,19000,2000,1000,1000,1000,256000,0,1000,0
May 13,2187.5,38125,250,71125,8125.0,NA,4000,0,NA,0,NA,NA,1000,NA,21000,0,96000,2000,2000,68000,6000,NA,12000,2000,2000,14000,53000,39000,53000,3000,10000,181000,86000,3000,38000,11000,8000,16000,0,2000,3000,0,229000,0,1000,0
May 14,2031.25,35781.25,562.5,66625,9375.0,0,NA,NA,0,NA,4000,14000,NA,4000,49000,0,19000,1000,1000,42000,34000,33000,21000,5000,2000,1000,36000,126000,44000,12000,7000,194000,60000,4000,142000,22000,2000,11000,0,9000,1000,1000,239000,0,8000,6000
May 15,3437.5,28437.5,0,74562.5,10000.0,NA,8000,5000,NA,0,NA,NA,0,NA,59000,0,4000,6000,10000,48000,NA,NA,16000,8000,4000,0,29000,111000,28000,28000,11000,182000,12000,10000,110000,35000,4000,6000,0,12000,1000,6000,231000,2000,8000,41000
May 16,1875,29375,0,79250,10937.5,0,NA,NA,0,NA,0,21000,NA,1000,112000,0,1000,7000,2000,29000,29000,136000,44000,3000,2000,0,33000,33000,24000,19000,14000,199000,10000,5000,76000,29000,2000,2000,2000,16000,5000,5000,159000,4000,10000,44000
