month,day,total,total-color,retweets,retweets-color,original,original-color,highestLikes,highestLikes-color,highestRetweets,highestRetweets-color,totalLikes,totalLikes-color,letters,letters-color,capitalLetters,capitalLetters-color,loudness,loudness-color,likeRate,likeRate-color,totalRetweets,totalRetweets-color,retweetRate,retweetRate-color,most-popular-text,most-popular-id,most-popular-date
2017-01-01,18,8,#e7f5fe,0,#ffffff,8,#e7f5fe,135864,#daeffd,21141,#e5f4fd,568009,#d2ecfc,756,#e9f5fe,71,#ecf7fe,9.39153439153439,#cfebfc,71001.125,#d3ecfc,103508,#eaf6fe,12938.5,#c6e7fb,"Looking forward to a speedy recovery for George and Barbara Bush&#44; both hospitalized. Thank you for your wonderful letter!",821844875268255744,2017-01-18 11:21
2017-01-01,19,8,#e7f5fe,0,#ffffff,8,#e7f5fe,159832,#d4edfc,38818,#cfebfc,769993,#c1e5fb,568,#eef8fe,68,#edf7fe,11.971830985915492,#c1e5fb,96249.125,#c2e6fb,148230,#e1f2fd,18528.75,#aeddfa,"the American people. I have no doubt that we will&#44; together&#44; MAKE AMERICA GREAT AGAIN!",822066653953458177,2017-01-19 02:02
2017-01-01,20,13,#d7eefd,0,#ffffff,13,#d7eefd,268372,#b6e0fb,70523,#a8dafa,1867501,#6cc0f7,955,#e3f3fd,117,#dff1fd,12.25130890052356,#bfe5fb,143653.92307692306,#a6d9fa,417567,#a9dbfa,32120.53846153846,#73c3f7,"It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!",822421390125043713,2017-01-20 01:31
2017-01-01,21,2,#f9fcff,0,#ffffff,2,#f9fcff,289942,#b0defa,52468,#bde4fb,467521,#daeffd,191,#f9fdff,52,#f1f9fe,27.225130890052355,#75c4f7,233760.5,#6fc2f7,75805,#f0f8fe,37902.5,#5cb9f6,"THANK YOU for another wonderful evening in Washington&#44; D.C. TOGETHER&#44; we will MAKE AMERICA GREAT AGAIN🇺🇸 https://t.co/V3aoj9RUh4",822669114237943808,2017-01-21 05:56
2017-01-01,22,5,#f0f8fe,1,#f9fdff,4,#f3fafe,390826,#95d2f9,81527,#9bd4f9,949408,#b3dffa,442,#f2f9fe,18,#fafdff,4.072398190045249,#eaf6fe,189881.6,#89cdf9,212249,#d3ecfc,42449.8,#45b0f4,"Peaceful protests are a hallmark of our democracy. Even if I don't always agree&#44; I recognize the rights of people to express their views.",823174199036542980,2017-01-22 03:23
2017-01-01,23,1,#fcfeff,0,#ffffff,1,#fcfeff,177839,#ceebfc,26750,#def1fd,177839,#f1f9fe,108,#fcfeff,5,#fefeff,4.62962962962963,#e8f5fe,177839,#91d0f9,26750,#fafdff,26750,#8acdf9,"Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.",823495059010109440,2017-01-23 12:38
2017-01-01,24,4,#f3fafe,0,#ffffff,4,#f3fafe,154857,#d5edfc,25694,#dff2fd,495813,#d7eefd,368,#f4fafe,22,#f9fcff,5.978260869565218,#e1f2fd,123953.25,#b2defa,86707,#edf7fe,21676.75,#a1d7fa,"Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!",823850781946343427,2017-01-24 12:11
2017-01-01,25,8,#e7f5fe,0,#ffffff,8,#e7f5fe,209363,#c6e7fb,56038,#b9e2fb,1112361,#a7d9fa,725,#e9f6fe,79,#eaf6fe,10.89655172413793,#c7e7fc,139045.125,#a9dafa,240014,#cdeafc,30001.75,#7bc7f8,"If Chicago doesn't fix the horrible &#34;carnage&#34; going on&#44; 228 shootings in 2017 with 42 killings (up 24% from 2016)&#44; I will send in the Feds!",824080766288228352,2017-01-25 03:25
2017-01-01,26,9,#e3f3fd,0,#ffffff,9,#e3f3fd,152335,#d6eefc,29219,#dbf0fd,784423,#bfe5fb,809,#e7f5fe,95,#e5f4fd,11.742892459826948,#c2e6fb,87158.11111111111,#c8e8fc,158680,#def1fd,17631.11111111111,#b2defa,"As your President&#44; I have no higher duty than to protect the lives of the American people. https://t.co/o7YNUNwb8f",824440456813707265,2017-01-26 03:14
2017-01-01,27,8,#e7f5fe,0,#ffffff,8,#e7f5fe,184954,#cceafc,45457,#c6e7fc,878511,#b8e1fb,527,#eff8fe,45,#f3fafe,8.538899430740038,#d3edfc,109813.875,#bae2fb,174653,#dbf0fd,21831.625,#a0d7fa,"The #MarchForLife is so important. To all of you marching --- you have my full support!",825017279209410561,2017-01-27 05:27
